,total reward,targets hit
0,178448.65374396552,5
1,70832.60108787986,3
2,82049.04595620737,4
3,184278.28151670864,4
4,23981.07323384117,2
5,189449.10963187157,4
6,312556.1127242257,5
7,35782.15434958512,2
8,2725.113830716549,1
9,133061.30655002774,4
10,29611.99566896288,2
11,25213.829165703246,3
12,220715.51827349456,4
13,419809.8293762791,5
14,174005.3756588728,4
15,148902.58900299572,4
16,49747.15429508083,3
17,392984.5313351157,5
18,90876.12867110745,4
19,368267.27692151704,5
20,143225.6371902351,4
21,176346.13438503636,4
22,214902.49302673264,4
23,221923.40460165736,4
24,140415.64818362278,4
25,242268.1565067642,4
26,251908.09183320584,5
27,42145.7596786583,3
28,126414.75238939817,3
29,83519.19447774248,3
30,211354.21903613658,5
31,263751.38321053324,6
32,208982.55335668192,4
33,250792.9046199482,5
34,47550.29929481768,3
35,254396.38225035227,5
36,200285.8477665213,5
37,205652.65883099174,4
38,112703.20371263474,3
39,128079.81707229053,3
40,35319.455374948,2
41,116394.72926549501,3
42,120845.41906336677,3
43,407030.0010368659,6
44,91898.45029513579,4
45,88103.28546933887,3
46,206251.2691818591,4
47,282819.36531050946,5
48,133612.5888186387,4
49,182073.8367134218,4
50,43915.76298797983,3
51,242472.07832424447,5
52,48677.15785813547,3
53,77032.4619109797,4
54,198256.20017829636,4
55,171191.7919116607,4
56,191890.06159489704,4
57,242414.60871271414,5
58,152551.69578966015,4
59,208985.34652534738,4
60,328942.000217774,5
61,225137.50163428945,4
62,89586.77197898293,3
63,414323.18042246124,5
64,115264.98680206365,3
65,418475.4578518355,6
66,190306.76676189416,4
67,45255.386776654734,3
68,173221.5704664169,4
69,87116.17574996967,3
70,68138.8079077019,3
71,253833.66195858511,5
72,123249.19223635849,3
73,188641.7405510242,4
74,59338.52624278894,3
75,252943.0574512123,5
76,231693.42022510088,5
77,236857.58983217712,5
78,289194.81314434984,6
79,61889.15631650882,3
80,176440.28526867554,4
81,408282.2262917853,8
82,107897.72491231945,3
83,115958.7036282113,3
84,235176.40249646176,4
85,259415.8346750256,5
86,163667.97110522183,4
87,135694.78235168883,4
88,238611.4434202084,5
89,150076.55853943722,4
90,193209.23943525337,4
91,229106.82349130826,5
