,total_reward,targets_hit
0,141060.4190019861,5
1,87748.04838528621,3
2,-16286.536189296821,2
3,102373.16236850181,3
4,260332.74443071886,5
5,115172.02831736614,4
6,157098.2304218579,4
7,73677.52351846872,3
8,182885.21049292118,4
9,208466.7818941711,4
10,38256.67884591529,2
11,198524.89523261294,4
12,49672.389804848994,3
13,148078.81015848654,4
14,110000.25722615173,3
15,180945.17653406004,4
16,88560.34650041662,3
17,161302.61117711224,5
18,161605.02150106145,4
19,30324.185112236126,2
20,166720.86943916092,4
21,184475.45762214423,5
22,108553.50049892056,4
23,30987.597160096855,2
24,271074.5589443798,5
25,180149.28385243987,4
26,16992.64791757851,2
27,212649.0406338545,4
28,155816.95919397008,4
29,104677.53111243872,4
30,115679.38002381616,3
31,200489.622097545,4
32,305259.7728264383,5
33,324168.79911466857,5
34,45567.47364003368,3
35,124024.2202039551,3
36,106201.18668964106,3
37,202581.3583620096,4
38,156654.29961985495,4
39,114244.65133026714,4
40,132054.7096580577,4
41,210465.77630382933,4
42,35611.46190385557,3
43,131850.65487718693,4
44,186751.7986313223,4
45,97676.49554997715,3
46,219361.9614755842,4
47,172786.34046736202,4
48,6609.421407915683,2
49,132204.9928435816,4
50,133844.07207398443,4
51,36559.956013212824,2
52,-6651.8701132948445,2
53,288749.8995210139,5
54,207374.9113621148,4
55,158159.04783965234,5
56,220680.68490038943,4
57,273467.51365981356,5
58,127100.50215262234,4
59,122042.08189852601,3
60,205189.30132361432,4
61,60620.66178730195,3
62,106951.03835259043,3
63,118964.86362906033,3
64,219564.29419532788,4
65,179121.09703965503,4
66,129945.27199119158,4
67,180579.21412348287,4
68,131793.9087732794,4
69,383566.4081707109,6
70,89396.34086165567,3
71,188661.41115782317,4
72,224902.90683727583,4
73,292026.9076678629,5
74,214925.69434800526,5
75,195359.74061347888,5
76,156761.7495662971,4
77,212069.78950574374,4
78,244577.8052075575,5
79,27338.34220280666,2
80,205777.4765669111,4
81,335792.31145838124,6
82,190640.90423462537,4
83,136390.6014911245,4
84,131629.0852035625,4
85,266601.1549789897,5
86,214809.92702495022,4
87,332137.2636672565,5
88,283863.07449892245,5
89,285097.08455534285,5
90,157822.8877709575,4
91,217676.9430998171,4
92,378856.0224467267,6
93,232241.73967472863,5
94,131918.8830017317,4
95,59398.89162098812,3
96,209043.17880963886,4
97,205517.42949436643,5
98,241465.28711464902,5
99,214377.01726098842,4
100,256058.9140464865,5
101,199113.17906971218,4
102,116199.5456685186,3
103,196822.28110719548,4
104,210804.87891169477,4
105,270829.29716875317,5
106,121937.09089302763,3
107,318596.3016553959,5
108,225679.8783523084,5
109,210152.19048543373,5
110,206749.07189472605,4
111,358062.65497402195,5
112,151113.8818540937,4
113,195293.8025246095,4
114,110668.94188391577,4
115,196435.00538916662,5
116,269253.8791019938,5
117,262733.6056926453,5
118,87025.27523106014,3
119,282787.3022599347,5
120,214104.96432276105,4
121,311262.28588609915,5
122,17645.253569313805,2
123,84991.0638569271,3
124,219150.57934643287,5
125,376532.4243223925,6
126,131296.09046100706,4
127,203855.5301385453,4
128,230221.3785795916,4
129,200783.84123859007,4
130,277775.6942404045,5
131,298574.8121793923,5
132,273299.20143377734,5
133,226456.58765710436,4
134,171073.5006701334,4
135,244767.92186259734,4
136,198593.46073340243,4
137,232872.18221527088,5
138,215983.3824408472,5
139,251133.34972911174,5
140,265188.9849554132,5
141,228620.55929861832,4
142,20574.381333155066,2
143,155987.96998034982,4
144,314007.1578294431,6
145,41884.51446883347,3
146,253487.14617531578,5
147,211461.8203881702,5
148,205556.0913032581,4
149,109180.0767860928,3
150,190016.06272227527,5
151,186694.01329746822,4
152,330502.5593868069,5
153,135665.53695402454,4
154,121278.2208083159,3
155,168377.97526939635,4
156,282764.06673534773,5
157,191768.05063292096,4
158,322035.2581094411,5
159,113385.34770224856,3
160,353378.721766978,6
161,274998.4583090052,5
162,177603.88798758297,4
163,216965.27637213253,4
164,219875.2329987542,4
165,319389.62738541816,5
166,169140.99581055267,4
167,248701.4238234846,5
168,310257.5602972108,6
169,145447.9180507557,4
170,205431.04447121202,4
171,114131.73140983772,3
172,338118.2354954098,5
173,317327.5376171625,5
174,217187.61620209983,4
175,204522.85552346185,5
176,178797.81980489922,4
177,203263.54662968812,4
178,130646.55547826584,4
179,219870.6018014227,5
180,202276.2360878537,4
181,150756.7223835084,4
182,260427.28718435878,5
183,342360.0290699456,5
184,239582.3372138327,4
185,43143.87246038852,3
186,112982.40880231617,3
187,230489.45195530716,4
188,290730.49378826586,6
189,208978.7914795348,4
190,217782.4232353476,4
191,208252.11187566307,5
192,107333.45761846754,3
193,305839.74629445066,5
194,285768.053385398,5
195,186784.76234664698,4
196,192603.00917839963,4
197,456581.6906466939,7
198,127435.00907640581,4
199,221867.4563678771,5
200,240405.39041421423,5
201,277847.1137260989,5
202,121775.49222467674,3
203,77993.62205092958,3
204,67758.59068804307,3
205,221159.37998779467,4
206,324058.434671494,5
207,215223.12155852673,5
208,208225.7404250901,5
209,215370.05656604748,5
210,121093.99543886287,4
211,299450.7446496627,5
212,409118.04602360004,6
213,232022.2805200772,5
214,179165.53631948653,5
215,229346.87208121215,4
216,253798.00558898225,5
217,331350.2186064092,5
218,224105.34712168935,4
219,257759.9395661983,5
220,251531.3326652608,5
221,236113.81428322324,4
222,141107.32965917775,4
223,245648.25210152712,5
224,209631.30799028708,4
225,435032.5490922772,6
226,205422.37333791645,4
227,143498.05412711052,4
228,243408.5671472625,5
229,284585.6159026473,5
230,188984.7108650941,4
231,291338.73096766166,5
232,76494.30435638693,4
233,202510.3952085554,4
234,8081.708614392459,2
235,220931.76586405357,5
236,297764.0015089507,5
237,170070.7160356951,4
238,355176.72051778674,5
239,311744.8521952392,5
240,207817.12948818016,4
241,298135.27959462936,5
242,380861.77174447983,6
243,161919.4076473043,4
244,211937.75257391,5
245,211763.1627664539,5
246,120887.19319246431,3
247,201115.65075634702,4
248,284071.86146125634,5
249,198477.64581029734,4
250,234888.59823603914,5
251,200166.58076638842,4
252,240113.58973845758,5
253,191679.919576499,4
254,190350.76480773807,4
255,237802.81890085724,5
256,195976.8104145151,5
257,257169.5554569,5
258,205019.0835206675,4
259,147264.13936115848,4
260,105965.99770852507,3
261,203159.15154083405,5
262,169924.3877729874,4
263,253786.73455967786,5
264,136490.7899279151,4
265,124747.3794857871,3
266,153360.0353441117,4
267,255572.59122021816,5
268,109416.77706157698,3
269,356037.5942337841,6
270,359969.2393591364,5
271,185624.45476183633,4
272,118774.93880424791,3
273,313800.9515449642,6
274,237140.91071855737,4
275,272457.2967334609,5
276,347637.6594136756,5
277,570452.5333102053,8
278,198436.18934617107,4
279,185779.47933818272,4
280,343764.9449060083,6
281,125395.13000829813,3
282,202684.81183163048,4
283,179818.9559355581,4
284,270137.292840177,5
285,121787.73335245012,3
286,193567.6842331761,4
287,208792.79304324553,5
288,304852.3165917291,6
289,200904.75908243546,4
290,292896.4484649013,5
291,287208.075205936,5
292,207303.95407451695,4
293,238744.40801442598,4
294,162847.56719393044,4
295,113277.73138769566,3
296,154634.992829505,4
297,162302.77208943653,4
298,208026.07061971436,4
299,215561.8348324809,5
300,237466.20099201894,4
301,376163.3429532121,5
302,418354.7950581617,6
303,114769.69766913139,3
304,229086.128994277,5
305,169263.55970573667,4
306,109856.78463931289,3
307,214649.90936973394,5
308,298070.12060205266,5
309,244262.54061968325,5
310,227282.31131400366,5
311,319264.6172022848,5
312,123385.56547695198,4
313,372151.3559018359,6
314,86133.90305263571,3
315,113929.46355444586,3
316,295281.27614945127,5
317,224548.87150172947,4
318,181191.58349496202,4
319,187219.2155503284,4
320,296092.3999232668,6
321,268075.25686404086,5
322,358786.6775887599,5
323,274119.1262253166,5
324,196784.3894303236,5
325,192787.11501806066,4
326,292592.13639839756,5
327,171418.24479964562,4
328,216085.39127014065,4
329,257846.32023977977,5
330,223705.20767043062,4
331,213779.28196740628,5
332,232089.599491377,5
333,106889.8891294935,3
334,279090.49730173545,5
335,412196.76131878776,6
336,211869.6689734076,4
337,212047.7886490472,4
338,266852.1057384296,5
339,134052.42618505005,5
340,341772.23455534416,6
341,286073.1452576549,5
342,400674.9915256293,6
343,158830.32082370445,4
